BillDate,InvoiceNo,StockCode,Description,Quantity,UnitPrice,Total
3/4/17,CC104  ,2457,ARYA KODO MILLET  ,1.00,63.00,63.00
3/4/17,CC104  ,2459,ARYA LITTLE MILLET  ,1.00,72.00,72.00
3/4/17,CC104  ,3805,OP MILK 1LTR  ,4.00,80.00,320.00
3/4/17,CC104  ,2129,SS BANANA YALAKKI  ,0.43,125.00,53.13
3/4/17,CC104  ,2122,SS ONION  ,0.99,48.00,47.52
3/4/17,CC104  ,3465,SS TOMATO GREEN  ,0.24,44.00,10.56
3/4/17,CC105  ,3753,AF INS CINNAMON  ,1.00,25.00,25.00
3/4/17,CC105  ,3766,AF INS LAVENDER  ,2.00,25.00,50.00
3/4/17,CC105  ,3756,AF INS LEMONGRASS  ,2.00,25.00,50.00
3/4/17,CC105  ,3767,AF INS PATCHOULI  ,2.00,25.00,50.00
3/4/17,CC105  ,3755,AF INS SANDAL  ,1.00,25.00,25.00
3/4/17,CC105  ,2109,SS TOMATO NATI  ,1.18,48.00,56.64
